squad,league,season,squad_value
Manchester City,Premier League,2023,1462500000
Arsenal,Premier League,2023,1203050000
Chelsea,Premier League,2023,1014450000
Liverpool,Premier League,2023,955850000
Tottenham,Premier League,2023,838500000
Manchester Utd,Premier League,2023,808750000
Aston Villa,Premier League,2023,710500000
Newcastle,Premier League,2023,652650000
Brighton,Premier League,2023,524400000
Nottingham Forest,Premier League,2023,501350000
West Ham,Premier League,2023,487500000
Crystal Palace,Premier League,2023,446825000
Wolves,Premier League,2023,443225000
Brentford,Premier League,2023,429025000
Bournemouth,Premier League,2023,401900000
Everton,Premier League,2023,391750000
Fulham,Premier League,2023,384350000
Burnley,Premier League,2023,273475000
Sheffield Utd,Premier League,2023,152450000
Luton Town,Premier League,2023,140900000
Manchester City,Premier League,2022,1145950000
Arsenal,Premier League,2022,1000700000
Chelsea,Premier League,2022,994950000
Manchester Utd,Premier League,2022,848000000
Liverpool,Premier League,2022,811850000
Tottenham,Premier League,2022,649100000
Newcastle,Premier League,2022,541600000
Brighton,Premier League,2022,529800000
Aston Villa,Premier League,2022,509550000
Wolves,Premier League,2022,497650000
Leicester City,Premier League,2022,490800000
West Ham,Premier League,2022,465750000
Southampton,Premier League,2022,419950000
Everton,Premier League,2022,413150000
Nottingham Forest,Premier League,2022,376250000
Brentford,Premier League,2022,371200000
Leeds United,Premier League,2022,345150000
Crystal Palace,Premier League,2022,323050000
Fulham,Premier League,2022,295250000
Bournemouth,Premier League,2022,287200000
Manchester City,Premier League,2021,1003700000
Liverpool,Premier League,2021,918900000
Chelsea,Premier League,2021,914500000
Manchester Utd,Premier League,2021,769150000
Tottenham,Premier League,2021,689350000
Arsenal,Premier League,2021,613050000
Leicester City,Premier League,2021,526550000
Aston Villa,Premier League,2021,487750000
Everton,Premier League,2021,479050000
Wolves,Premier League,2021,376950000
West Ham,Premier League,2021,354900000
Brighton,Premier League,2021,318000000
Newcastle,Premier League,2021,313900000
Leeds United,Premier League,2021,299450000
Southampton,Premier League,2021,274300000
Brentford,Premier League,2021,273300000
Crystal Palace,Premier League,2021,271050000
Norwich City,Premier League,2021,163200000
Watford,Premier League,2021,156200000
Burnley,Premier League,2021,137850000
Manchester City,Premier League,2020,1044500000
Liverpool,Premier League,2020,969650000
Chelsea,Premier League,2020,889200000
Manchester Utd,Premier League,2020,770050000
Tottenham,Premier League,2020,703500000
Arsenal,Premier League,2020,619250000
Everton,Premier League,2020,511200000
Leicester City,Premier League,2020,510600000
Wolves,Premier League,2020,450300000
Aston Villa,Premier League,2020,430700000
West Ham,Premier League,2020,334900000
Brighton,Premier League,2020,290400000
Southampton,Premier League,2020,282800000
Newcastle,Premier League,2020,255350000
Fulham,Premier League,2020,239750000
Leeds United,Premier League,2020,238100000
Crystal Palace,Premier League,2020,193850000
Sheffield Utd,Premier League,2020,149850000
West Brom,Premier League,2020,141150000
Burnley,Premier League,2020,132300000
Manchester City,Premier League,2019,1048675000
Liverpool,Premier League,2019,1002650000
Tottenham,Premier League,2019,806800000
Chelsea,Premier League,2019,705850000
Manchester Utd,Premier League,2019,670450000
Arsenal,Premier League,2019,607650000
Everton,Premier League,2019,420550000
Leicester City,Premier League,2019,411100000
Wolves,Premier League,2019,320325000
West Ham,Premier League,2019,303600000
Bournemouth,Premier League,2019,272175000
Newcastle,Premier League,2019,252475000
Aston Villa,Premier League,2019,231700000
Southampton,Premier League,2019,210750000
Brighton,Premier League,2019,200775000
Watford,Premier League,2019,199600000
Crystal Palace,Premier League,2019,189325000
Burnley,Premier League,2019,163875000
Norwich City,Premier League,2019,145325000
Sheffield Utd,Premier League,2019,138600000
Manchester City,Premier League,2018,1203450000
Liverpool,Premier League,2018,1172400000
Chelsea,Premier League,2018,1166650000
Tottenham,Premier League,2018,898600000
Manchester Utd,Premier League,2018,797600000
Arsenal,Premier League,2018,659050000
Everton,Premier League,2018,529100000
Leicester City,Premier League,2018,434100000
West Ham,Premier League,2018,359000000
Bournemouth,Premier League,2018,310000000
Southampton,Premier League,2018,305400000
Wolves,Premier League,2018,302900000
Crystal Palace,Premier League,2018,289000000
Fulham,Premier League,2018,254250000
Newcastle,Premier League,2018,244650000
Watford,Premier League,2018,239100000
Burnley,Premier League,2018,197250000
Brighton,Premier League,2018,194350000
Huddersfield,Premier League,2018,137450000
Cardiff City,Premier League,2018,113000000
Manchester City,Premier League,2017,1009000000
Chelsea,Premier League,2017,884250000
Liverpool,Premier League,2017,857500000
Manchester Utd,Premier League,2017,849500000
Tottenham,Premier League,2017,829600000
Arsenal,Premier League,2017,694000000
Everton,Premier League,2017,381250000
Leicester City,Premier League,2017,304250000
Southampton,Premier League,2017,297000000
West Ham,Premier League,2017,260600000
Crystal Palace,Premier League,2017,220725000
Newcastle,Premier League,2017,208275000
Watford,Premier League,2017,196000000
Stoke City,Premier League,2017,192450000
Burnley,Premier League,2017,169300000
West Brom,Premier League,2017,165950000
Swansea City,Premier League,2017,165490000
Brighton,Premier League,2017,148200000
Bournemouth,Premier League,2017,144500000
Huddersfield,Premier League,2017,106050000
Chelsea,Premier League,2016,686700000
Manchester City,Premier League,2016,576500000
Tottenham,Premier League,2016,543650000
